a,ə
adaptor,əˈdæptər
add,æd
added,ˈædɪd
addiction,əˈdɪkʃən
adding,ˈædɪŋ
addition,əˈdɪʃən
additional,əˈdɪʃənəl
additionally,əˈdɪʃəˌnəli
additions,əˈdɪʃənz
address,ˈæˌdrɛs
addressed,əˈdrɛst
addresses,ˈæˈdrɛsɪz
addressing,æˈdrɛsɪŋ
adds,ædz
adelaide,ˈædəˌleɪd
adequate,ˈædəkˌweɪt
adidas,əˈdidəs
adipex,adipex*
adjacent,əˈʤeɪsənt
adjust,əˈʤəst
adjustable,əˈʤəstəbəl
adjusted,əˈʤəstɪd
adjustment,əˈʤəstmənt
adjustments,əˈʤəstmənts
admin,ˈædmɪn
administered,ədˈmɪnɪstərd
administration,ædˌmɪnɪˈstreɪʃən
administrative,ədˈmɪnɪˌstreɪtɪv
administrator,ədˈmɪnɪˌstreɪtər
administrators,ædˈmɪnɪˌstreɪtərz
admission,ədˈmɪʃən
admissions,ədˈmɪʃənz
admit,ədˈmɪt
admitted,ədˈmɪtəd
adobe,əˈdoʊbi
adolescent,ˌædəˈlɛsənt
adopt,əˈdɑpt
adopted,əˈdɑptəd
adoption,əˈdɑpʃən
adrian,ˈeɪdriən
ads,ædz
adsl,adsl*
adult,ˈædəlt
adults,ˈædəlts
advance,ədˈvæns
advanced,ədˈvænst
advancement,ədˈvænsmənt
advances,ədˈvænsɪz
advantage,ædˈvæntɪʤ
advantages,ædˈvæntɪʤɪz
adventure,ədˈvɛnʧər
adventures,ædˈvɛnʧərz
adverse,ˌædˈvərs
advert,advert*
advertise,ˈædvərˌtaɪz
advertisement,ˌædvərˈtaɪzmənt
advertisements,ˈædvərˌtaɪzmənts
advertiser,ˈædvərˌtaɪzər
advertisers,ˈædvərˌtaɪzərz
advertising,ˈædvərˌtaɪzɪŋ
advice,ədˈvaɪs
advise,ədˈvaɪz
advised,ədˈvaɪzd
advisor,ædˈvaɪzər
advisors,ædˈvaɪzərz
advisory,ædˈvaɪzəri
advocacy,ˈædvəkəsi
advocate,ˈædvəˌkeɪt
adware,adware*
ae,eɪ
aerial,ˈɛriəl
aerospace,ˈɛroʊˌspeɪs
af,af*
affair,əˈfɛr
affairs,əˈfɛrz
affect,əˈfɛkt
affected,əˈfɛktɪd
affecting,əˈfɛktɪŋ
affects,əˈfɛkts
affiliate,əˈfɪliˌeɪt
affiliated,əˈfɪliˌeɪtɪd
affiliates,əˈfɪliˌeɪts
affiliation,əˌfɪliˈeɪʃən
afford,əˈfɔrd
affordable,əˈfɔrdəbəl
afghanistan,æfˈgænəˌstæn
afraid,əˈfreɪd
africa,ˈæfrɪkɑ
african,ˈæfrɪkɑn
after,ˈæftər
afternoon,ˌæftərˈnun
afterwards,ˈæftərwərdz
ag,ˈeɪˈgi
again,əˈgɛn
against,əˈgɛnst
age,eɪʤ
aged,ˈeɪʤɪd
agencies,ˈeɪʤənsiz
agency,ˈeɪʤənsi
agenda,əˈʤɛndə
agent,ˈeɪʤənt
agents,ˈeɪʤənts
ages,ˈeɪʤɪz
aggregate,ˈægrəgət
aggressive,əˈgrɛsɪv
aging,ˈeɪʤɪŋ
ago,əˈgoʊ
agree,əˈgri
agreed,əˈgrid
agreement,əˈgrimənt
agreements,əˈgrimənts
agrees,əˈgriz
agricultural,ˌægrɪˈkəlʧərəl
agriculture,ˈægrɪˌkəlʧər
ah,ɑ
ahead,əˈhɛd
ai,eɪaɪ
aid,eɪd
aids,eɪdz
aim,eɪm
aimed,eɪmd
aims,eɪmz
air,ɛr
aircraft,ˈɛrˌkræft
airfare,ˈɛrˌfɛr
airline,ˈɛˌrlaɪn
airlines,ˈɛˌrlaɪnz
airplane,ˈɛrˌpleɪn
airport,ˈɛrˌpɔrt
airports,ˈɛrˌpɔrts
aj,aj*
ak,ak*
aka,ˈɑkə
al,æl
ala,ˈælə
alabama,ˌæləˈbæmə
alan,ˈælən
alarm,əˈlɑrm
alaska,əˈlæskə
albania,ælˈbeɪniə
albany,ˈɔlbəni
albert,ˈælbərt
alberta,ælˈbərtə
album,ˈælbəm
albums,ˈælbəmz
albuquerque,ˈælbəkərki
alcohol,ˈælkəˌhɑl
alert,əˈlərt
alerts,əˈlərts
alex,ˈæləks
alexander,ˌælɪgˈzændər
alexandria,ˌæləgˈzændriə
alfred,ˈælfrɪd
algebra,ˈælʤəbrə
algeria,æˈlʤɪriə
algorithm,ˈælgərˌɪðəm
algorithms,ˈælgərˌɪðəmz
ali,ˈɑli
alias,ˈeɪliəs
alice,ˈælɪs
alien,ˈeɪliən
align,əˈlaɪn
alignment,əˈlaɪnmənt
alike,əˈlaɪk
alive,əˈlaɪv
all,ɔl
allah,ˈɑlə
allan,ˈælən
alleged,əˈlɛʤd
allen,ˈælən
allergy,ˈælərʤi
alliance,əˈlaɪəns
allied,ˈæˌlaɪd
allocated,ˈæləˌkeɪtɪd
allocation,ˌæləˈkeɪʃən
allow,əˈlaʊ
allowance,əˈlaʊəns
allowed,əˈlaʊd
allowing,əˈlaʊɪŋ
allows,əˈlaʊz
alloy,ˈæˌlɔɪ
almost,ˈɔlˌmoʊst
alone,əˈloʊn
along,əˈlɔŋ
alot,əˈlɑt
alpha,ˈælfə
alphabetical,ˌælfəˈbɛtɪkəl
alpine,ˈælˌpaɪn
already,ɔˈrɛdi
also,ˈɔlsoʊ
alt,ɑlt
alter,ˈɔltər
altered,ˈɔltərd
alternate,ˈɔltərˌneɪt
alternative,ɔlˈtərnətɪv
alternatively,ɔlˈtərnətɪvli
alternatives,ɔlˈtərnətɪvz
although,ˌɔlˈðoʊ
alto,ˈæltoʊ
aluminium,ˌæˈljumɪnəm
aluminum,əˈlumənəm
alumni,əˈləmˌnaɪ
always,ˈɔlˌweɪz
am,æm
amanda,əˈmændə
amateur,ˈæməˌʧər
amazing,əˈmeɪzɪŋ
amazon,ˈæməˌzɑn
amazoncom,amazoncom*
amazoncouk,amazoncouk*
ambassador,æmˈbæsədər
amber,ˈæmbər
ambien,ambien*
ambient,ˈæmbiənt
amd,ˈeɪˌɛmˈdi
amend,əˈmɛnd
amended,əˈmɛndɪd
amendment,əˈmɛndmənt
amendments,əˈmɛndmənts
amenities,əˈmɛnətiz
america,əˈmɛrɪkə
american,əˈmɛrɪkən
americans,əˈmɛrɪkənz
americas,əˈmɛrɪkəz
amino,əˈminoʊ
among,əˈməŋ
amongst,əˈməŋst
amount,əˈmaʊnt
amounts,əˈmaʊnts
amp,æmp
ampland,ampland*
amplifier,ˈæmpləˌfaɪər
amsterdam,ˈæmstərˌdæm
amy,ˈeɪmi
an,ən
ana,ˈɑnə
anaheim,ˈænəˌhaɪm
anal,ˈeɪnəl
analog,ˈænəˌlɔg
analyses,æˈnælɪˌsiz
analysis,æˈnælɪsɪs
analyst,ˈænəlɪst
analysts,ˈænəlɪsts
analytical,ˌænəˈlɪtɪkəl
analyze,ˈænəˌlaɪz
analyzed,ˈænəˌlaɪzd
anatomy,əˈnætəmi
anchor,ˈæŋkər
ancient,ˈeɪnʧənt
and,ənd
andale,andale*
anderson,ˈændərsən
andorra,ænˈdɔrə
andrea,ˌɑnˈdreɪə
andreas,ɑnˈdreɪəs
andrew,ˈændru
andrews,ˈænˌdruz
andy,ˈændi
angel,ˈeɪnʤəl
angela,ˈænʤələ
angeles,ˈænʤəlɪs
angels,ˈeɪnʤəlz
anger,ˈæŋgər
angle,ˈæŋgəl
angola,æŋˈgoʊlə
angry,ˈæŋgri
animal,ˈænəməl
animals,ˈænəməlz
animated,ˈænəˌmeɪtɪd
animation,ˌænəˈmeɪʃən
anime,anime*
ann,æn
anna,ˈænə
anne,æn
annex,ˈæˌnɛks
annie,ˈæni
anniversary,ˌænəˈvərsəri
annotated,ˌænəˈteɪtɪd
annotation,ˌænəˈteɪʃən
announce,əˈnaʊns
announced,əˈnaʊnst
announcement,əˈnaʊnsmɛnt
announcements,əˈnaʊnsmɛnts
announces,əˈnaʊnsɪz
annoying,əˈnɔɪɪŋ
annual,ˈænjuəl
annually,ˈænjuəli
anonymous,əˈnɑnəməs
another,əˈnəðər
answer,ˈænsər
answered,ˈænsərd
answering,ˈænsərɪŋ
answers,ˈænsərz
ant,ænt
antarctica,ˌæˈnɑrtɪkə
antenna,ænˈtɛnə
anthony,ˈænθɔˌni
anthropology,ˌænθrəˈpɑləʤi
anti,ˈænˌti
antibodies,ˈænɪˌbɑdiz
antibody,ˈæntɪˌbɑdi
anticipated,ænˈtɪsəˌpeɪtɪd
antigua,ænˈtigwə
antique,ænˈtik
antiques,ænˈtiks
antivirus,antivirus*
antonio,ænˈtoʊnioʊ
anxiety,æŋˈzaɪəti
any,ˈɛni
anybody,ˈɛnibədi
anymore,ˌɛniˈmɔr
anyone,ˈɛniˌwən
anything,ˈɛniˌθɪŋ
anytime,ˈɛniˌtaɪm
anyway,ˈɛniˌweɪ
anywhere,ˈɛniˌwɛr
aol,əˈmərɪkəˈɑnˌlaɪn
ap,ˌeɪˈpi
apache,əˈpæʧi
apart,əˈpɑrt
apartment,əˈpɑrtmənt
apartments,əˈpɑrtmənts
api,api*
apnic,apnic*
apollo,əˈpɑloʊ
app,æp
apparatus,ˌæpərˈætəs
apparel,əˈpærəl
apparent,əˈpɛrənt
apparently,əˈpɛrəntli
appeal,əˈpil
appeals,əˈpilz
appear,əˈpɪr
appearance,əˈpɪrəns
appeared,əˈpɪrd
appearing,əˈpɪrɪŋ
appears,əˈpɪrz
appendix,əˈpɛndɪks
apple,ˈæpəl
appliance,əˈplaɪəns
appliances,əˈplaɪənsɪz
applicable,ˈæpləkəbəl
applicant,ˈæplɪkənt
applicants,ˈæplɪkənts
application,ˌæpləˈkeɪʃən
applications,ˌæpləˈkeɪʃənz
applied,əˈplaɪd
applies,əˈplaɪz
apply,əˈplaɪ
applying,əˈplaɪɪŋ
appointed,əˈpɔɪntɪd
appointment,əˈpɔɪntmənt
appointments,əˈpɔɪntmənts
appraisal,əˈpreɪzəl
appreciate,əˈpriʃiˌeɪt
appreciated,əˈpriʃiˌeɪtɪd
appreciation,əˌpriʃiˈeɪʃən
approach,əˈproʊʧ
approaches,əˈproʊʧɪz
appropriate,əˈproʊpriˌeɪt
appropriations,əˌproʊpriˈeɪʃənz
approval,əˈpruvəl
approve,əˈpruv
approved,əˈpruvd
approx,approx*
approximate,əˈprɑksəˌmeɪt
approximately,əˈprɑksəmətli
apps,æps
apr,apr*
april,ˈeɪprəl
apt,æpt
aqua,ˈɑkwə
aquarium,əkˈwɛriəm
aquatic,əkˈwɑtɪk
ar,ɑr
arab,ˈærəb
arabia,əˈreɪbiə
arabic,ˈɛrəbɪk
arbitrary,ˈɑrbɪˌtrɛri
arbitration,ˌɑrbɪˈtreɪʃən
arc,ɑrk
arcade,ɑrˈkeɪd
arch,ɑrʧ
architect,ˈɑrkəˌtɛkt
architects,ˈɑrkəˌtɛkts
architectural,ˌɑrkəˈtɛkʧərəl
architecture,ˈɑrkəˌtɛkʧər
archive,ˈɑrˌkaɪv
archived,archived*
archives,ˈɑrˌkaɪvz
arctic,ˈɑrtɪk
are,ər
area,ˈɛriə
areas,ˈɛriəz
arena,ərˈinə
arg,arg*
argentina,ˌɑrʤənˈtinə
argue,ˈɑrgju
argued,ˈɑrgjud
argument,ˈɑrgjəmənt
arguments,ˈɑrgjəmənts
arise,əraɪz
arising,ərˈaɪzɪŋ
arizona,ˌɛrɪˈzoʊnə
arkansas,ˈɑrkənˌsɑ
arlington,ˈɑrlɪŋtən
arm,ɑrm
armed,ɑrmd
armenia,ɑrˈminiə
armor,ˈɑrmər
arms,ɑrmz
armstrong,ˈɑrmˌstrɔŋ
army,ˈɑrmi
arnold,ˈɑrnəld
around,əraʊnd
arrange,əreɪnʤ
arranged,əreɪnʤd
arrangement,ərˈeɪnʤmənt
arrangements,ərˈeɪnʤmənts
array,əreɪ
arrest,ərˈɛst
arrested,ərˈɛstɪd
arrival,ərˈaɪvəl
arrivals,ərˈaɪvəlz
arrive,əraɪv
arrived,əraɪvd
arrives,əraɪvz
arrow,ˈɛroʊ
art,ɑrt
arthritis,ɑrθˈraɪtɪs
arthur,ˈɑrθər
article,ˈɑrtɪkəl
articles,ˈɑrtɪkəlz
artificial,ˌɑrtəˈfɪʃəl
artist,ˈɑrtɪst
artistic,ɑrˈtɪstɪk
artists,ˈɑrtɪsts
arts,ɑrts
artwork,ˈɑrtˌwərk
aruba,ərˈubə
as,ɛz
asbestos,æsˈbɛstəs
ascii,ˈæski
ash,æʃ
ashley,ˈæʃli
asia,ˈeɪʒə
asian,ˈeɪʒən
aside,əˈsaɪd
asin,asin*
ask,æsk
asked,æst
asking,ˈæskɪŋ
asks,æsks
asn,asn*
asp,æsp
aspect,ˈæˌspɛkt
aspects,ˈæˌspɛkts
aspnet,aspnet*
ass,æs
assault,əˈsɔlt
assembled,əˈsɛmbəld
assembly,əˈsɛmbli
assess,əˈsɛs
assessed,əˈsɛst
assessing,əˈsɛsɪŋ
assessment,əˈsɛsmənt
assessments,əˈsɛsmənts
asset,ˈæˌsɛt
assets,ˈæˌsɛts
assign,əˈsaɪn
assigned,əˈsaɪnd
assignment,əˈsaɪnmənt
assignments,əˈsaɪnmənts
assist,əˈsɪst
assistance,əˈsɪstəns
assistant,əˈsɪstənt
assisted,əˈsɪstɪd
assists,əˈsɪsts
associate,əˈsoʊʃiˌeɪt
associated,əˈsoʊʃiˌeɪtəd
associates,əˈsoʊʃiˌeɪts
association,əˌsoʊʃiˈeɪʃən
associations,əˌsoʊʃiˈeɪʃənz
assume,əˈsum
assumed,əˈsumd
assumes,əˈsumz
assuming,əˈsumɪŋ
assumption,əˈsəmpʃən
assumptions,əˈsəmpʃənz
assurance,əˈʃʊrəns
assure,əˈʃʊr
assured,əˈʃʊrd
asthma,ˈæzmə
astrology,əˈstrɑləʤi
astronomy,əˈstrɑnəmi
asus,asus*
at,æt
ata,ˈɑtə
ate,eɪt
athens,ˈæθənz
athletes,ˈæθˌlits
athletic,æθˈlɛtɪk
athletics,æθˈlɛtɪks
ati,ati*
atlanta,æˈtlæntə
atlantic,əˈtlæntɪk
atlas,ˈætləs
atm,ˈeɪˌtiˈɛm
atmosphere,ˈætməsˌfɪr
atmospheric,ˌætməsˈfɛrɪk
atom,ˈætəm
atomic,əˈtɑmɪk
attach,əˈtæʧ
attached,əˈtæʧt
attachment,əˈtæʧmənt
attachments,əˈtæʧmənts
attack,əˈtæk
attacked,əˈtækt
attacks,əˈtæks
attempt,əˈtɛmpt
attempted,əˈtɛmptəd
attempting,əˈtɛmptɪŋ
attempts,əˈtɛmpts
attend,əˈtɛnd
attendance,əˈtɛndəns
attended,əˈtɛndəd
attending,əˈtɛndɪŋ
attention,əˈtɛnʃən
attitude,ˈætəˌtud
attitudes,ˈætəˌtudz
attorney,əˈtərni
attorneys,əˈtərniz
attract,əˈtrækt
attraction,əˈtrækʃən
attractions,əˈtrækʃənz
attractive,əˈtræktɪv
attribute,əˈtrɪˌbjut
attributes,əˈtrɪˌbjuts
au,oʊ
auburn,ˈɑbərn
auckland,ˈɑklənd
auction,ˈɔkʃən
auctions,ˈɔkʃənz
aud,ɔd
audi,ˈɔdi
audience,ˈɔdiəns
audio,ˈɑdiˌoʊ
audit,ˈɔdɪt
auditor,ˈɔdɪtər
aug,ˈɔgəst
august,ˈɔgəst
aurora,ərˈɔrə
aus,aʊz
austin,ˈɔstən
australia,ɔˈstreɪljə
australian,ɔˈstreɪljən
austria,ˈɔstriə
authentic,əˈθɛnɪk
authentication,ɔˌθɛntəˈkeɪʃən
author,ˈɔθər
authorities,əˈθɔrətiz
authority,əˈθɔrəti
authorization,ˌɔθərəˈzeɪʃən
authorized,ˈɔθərˌaɪzd
authors,ˈɔθərz
auto,ˈɔtoʊ
automated,ˈɔtəˌmeɪtɪd
automatic,ˌɔtəˈmætɪk
automatically,ˌɔtəˈmætɪkli
automation,ɔtəˈmeɪʃən
automobile,ˌɔtəmoʊˈbil
automobiles,ˌɔtəmoʊˈbilz
automotive,ˌɔtəˈmoʊtɪv
autos,ˈɔtoʊz
autumn,ˈɔtəm
av,ˌeɪˈvi
availability,əˌveɪləˈbɪlɪti
available,əˈveɪləbəl
avatar,ˈævəˌtɑr
ave,ˈɑˌveɪ
avenue,ˈævəˌnu
average,ˈævərɪʤ
avg,avg*
avi,ˈɑvi
aviation,ˌeɪviˈeɪʃən
avoid,əˈvɔɪd
avoiding,əˈvɔɪdɪŋ
avon,ˈeɪvɑn
aw,ɔ
award,əˈwɔrd
awarded,əˈwɔrdɪd
awards,əˈwɔrdz
aware,əˈwɛr
awareness,əˈwɛrnəs
away,əˈweɪ
awesome,ˈɔsəm
awful,ˈɔfəl
axis,ˈæksəs
aye,aɪ
az,az*
azerbaijan,ˌɑzərbaɪˈʤɑn
b,bi
ba,ˌbiˈeɪ
babe,beɪb
babes,beɪbz
babies,ˈbeɪbiz
baby,ˈbeɪbi
bachelor,ˈbæʧələr
back,bæk
backed,bækt
background,ˈbækˌgraʊnd
backgrounds,ˈbækˌgraʊndz
backing,ˈbækɪŋ
backup,ˈbæˌkəp
bacon,ˈbeɪkən
bacteria,bækˈtɪriə
bacterial,bækˈtɪriəl
bad,bæd
badge,bæʤ
badly,ˈbædli
bag,bæg
baghdad,ˈbægdæd
bags,bægz
bahamas,bəˈhɑməz
bahrain,bɑˈreɪn
bailey,ˈbeɪli
baker,ˈbeɪkər
baking,ˈbeɪkɪŋ
balance,ˈbæləns
balanced,ˈbælənst
bald,bɔld
bali,ˈbɑli
ball,bɔl
ballet,bæˈleɪ
balloon,bəˈlun
ballot,ˈbælət
balls,bɔlz
baltimore,ˈbɔltəˌmɔr
ban,bæn
banana,bəˈnænə
band,bænd
bands,bændz
bandwidth,ˈbændwɪdθ
bang,bæŋ
bangbus,bangbus*
bangkok,ˈbæŋkɑk
bangladesh,ˈbæŋləˌdɛʃ
bank,bæŋk
banking,ˈbæŋkɪŋ
bankruptcy,ˈbæŋkrəptsi
banks,bæŋks
banned,bænd
banner,ˈbænər
banners,ˈbænərz
baptist,ˈbæptɪst
bar,bɑr
barbados,bɑrˈbeɪdoʊs
barbara,ˈbɑrbərə
barbie,ˈbɑrbi
barcelona,ˌbɑrsɪˈloʊnə
bare,bɛr
barely,ˈbɛrli
bargain,ˈbɑrgɪn
bargains,ˈbɑrgɪnz
barn,bɑrn
barnes,bɑrnz
barrel,ˈbɛrəl
barrier,ˈbɛriər
barriers,ˈbɛriərz
barry,ˈbɛri
bars,bɑrz
base,beɪs
baseball,ˈbeɪsˈbɔl
based,beɪst
baseline,ˈbeɪsˌlaɪn
basement,ˈbeɪsmənt
basename,basename*
bases,ˈbeɪsɪz
basic,ˈbeɪsɪk
basically,ˈbeɪsɪkli
basics,ˈbeɪsɪks
basin,ˈbeɪsən
basis,ˈbeɪsɪs
basket,ˈbæskət
basketball,ˈbæskətˌbɔl
baskets,ˈbæskəts
bass,bæs
bat,bæt
batch,bæʧ
bath,bæθ
bathroom,ˈbæθˌrum
bathrooms,ˈbɑθˌrumz
baths,bæθs
batman,ˈbætˌmæn
batteries,ˈbætəriz
battery,ˈbætəri
battle,ˈbætəl
battlefield,ˈbætəlˌfild
bay,beɪ
bb,bb*
bbc,ˌbibiˈsi
bbs,bbs*
bbw,bbw*
bc,bc*
bd,bd*
bdsm,bdsm*
be,bi
beach,biʧ
beaches,ˈbiʧɪz
beads,bidz
beam,bim
bean,bin
beans,binz
bear,bɛr
bearing,ˈbɛrɪŋ
bears,bɛrz
beast,bist
beastality,beastality*
beastiality,beastiality*
beat,bit
beatles,ˈbitəlz
beats,bits
beautiful,ˈbjutəfəl
beautifully,ˈbjutəfli
beauty,ˈbjuti
beaver,ˈbivər
became,bɪˈkeɪm
because,bɪˈkəz
become,bɪˈkəm
becomes,bɪˈkəmz
becoming,bɪˈkəmɪŋ
bed,bɛd
bedding,ˈbɛdɪŋ
bedford,ˈbɛdfərd
bedroom,ˈbɛˌdrum
bedrooms,ˈbɛˌdrumz
beds,bɛdz
bee,bi
beef,bif
been,bɪn
beer,bɪr
before,ˌbiˈfɔr
began,bɪˈgæn
begin,bɪˈgɪn
beginner,bɪˈgɪnər
beginners,bɪˈgɪnərz
beginning,bɪˈgɪnɪŋ
begins,bɪˈgɪnz
begun,ˈbeɪgən
behalf,bɪˈhæf
behavior,bɪˈheɪvjər
behavioral,bɪˈheɪvjərəl
behaviour,bɪˈheɪvjər
behind,bɪˈhaɪnd
beijing,ˌbeɪˈʒɪŋ
being,biɪŋ
beings,biɪŋz
belarus,ˌbɛlɑˈrʊs
belfast,ˈbɛlˌfæst
belgium,ˈbɛlʤəm
belief,bɪˈlif
beliefs,bɪˈlifs
believe,bɪˈliv
believed,bɪˈlivd
believes,bɪˈlivz
belize,bɛˈliz
belkin,ˈbɛlkɪn
bell,bɛl
belle,bɛl
belly,ˈbɛli
belong,bɪˈlɔŋ
belongs,bɪˈlɔŋz
below,bɪˈloʊ
belt,bɛlt
belts,bɛlts
ben,bɛn
bench,bɛnʧ
benchmark,ˈbɛnʧˌmɑrk
bend,bɛnd
beneath,bɪˈniθ
beneficial,ˌbɛnəˈfɪʃəl
benefit,ˈbɛnəfɪt
benefits,ˈbɛnəfɪts
benjamin,ˈbɛnʤəmən
bennett,ˈbɛnɪt
benz,bɛnz
berkeley,ˈbərkli
berlin,bərˈlɪn
bermuda,bərmˈjudə
bernard,ˈbərnərd
berry,ˈbɛri
beside,ˌbiˈsaɪd
besides,ˌbiˈsaɪdz
best,bɛst
bestiality,bɛsˈʧælɪti
bestsellers,ˈbɛˈsɛlərz
bet,bɛt
beta,ˈbeɪtə
beth,bɛθ
better,ˈbɛtər
betting,ˈbɛtɪŋ
betty,ˈbɛti
between,bɪtˈwin
beverage,ˈbɛvərɪʤ
beverages,ˈbɛvrɪʤɪz
beverly,ˈbɛvərli
beyond,bɪɔnd
bg,bg*
bhutan,ˌbuˈtæn
bi,baɪ
bias,baɪəs
bible,ˈbaɪbəl
biblical,ˈbɪblɪkəl
bibliographic,bibliographic*
bibliography,ˌbɪbliˈɑgrəfi
bicycle,ˈbaɪsɪkəl
bid,bɪd
bidder,ˈbɪdər
bidding,ˈbɪdɪŋ
bids,bɪdz
big,bɪg
bigger,ˈbɪgər
biggest,ˈbɪgəst
bike,baɪk
bikes,baɪks
bikini,bɪˈkini
bill,bɪl
billing,ˈbɪlɪŋ
billion,ˈbɪljən
bills,bɪlz
billy,ˈbɪli
bin,bɪn
binary,ˈbaɪnəˌri
bind,baɪnd
binding,ˈbaɪndɪŋ
bingo,ˈbɪŋgoʊ
bio,baɪoʊ
biodiversity,ˌbaɪoʊdaɪˈvərsəti
biographies,baɪˈɑgrəfiz
biography,baɪˈɑgrəfi
biol,biol*
biological,ˌbaɪəˈlɑʤɪkəl
biology,baɪˈɑləʤi
bios,baɪoʊs
biotechnology,ˌbaɪoʊˌtɛkˈnɑləʤi
bird,bərd
birds,bərdz
birmingham,ˈbərmɪŋˌhæm
birth,bərθ
birthday,ˈbərθˌdeɪ
bishop,ˈbɪʃəp
bit,bɪt
bitch,bɪʧ
bite,baɪt
bits,bɪts
biz,bɪz
bizarre,bɪˈzɑr
bizrate,bizrate*
bk,bk*
bl,bl*
black,blæk
blackberry,ˈblækˌbɛri
blackjack,ˈblæˌkʤæk
blacks,blæks
blade,bleɪd
blades,bleɪdz
blah,blɑ
blair,blɛr
blake,bleɪk
blame,bleɪm
blank,blæŋk
blanket,ˈblæŋkɪt
blast,blæst
bleeding,ˈblidɪŋ
blend,blɛnd
bless,blɛs
blessed,blɛst
blind,blaɪnd
blink,blɪŋk
block,blɑk
blocked,blɑkt
blocking,ˈblɑkɪŋ
blocks,blɑks
blog,blɔg
blogger,ˈblɔgər
bloggers,ˈblɔgərz
blogging,ˈblɔgɪŋ
blogs,blɔgz
blond,blɑnd
blonde,blɑnd
blood,bləd
bloody,ˈblədi
bloom,blum
bloomberg,ˈblumbərg
blow,bloʊ
blowing,bloʊɪŋ
blowjob,ˈbloʊˌʤɑb
blowjobs,blowjobs*
blue,blu
blues,bluz
bluetooth,ˈbluˌtuθ
blvd,ˈbʊləˌvɑrd
bm,bm*
bmw,ˈbiˌɛmˈdəbəlju
bo,boʊ
board,bɔrd
boards,bɔrdz
boat,boʊt
boating,ˈboʊtɪŋ
boats,boʊts
bob,bɑb
